200901,2009,1,2009-09-08,2009-09-14,1
200902,2009,2,2009-09-15,2009-09-21,1
200903,2009,3,2009-09-22,2009-09-28,1
200908,2009,8,2009-10-27,2009-11-02,1
200909,2009,9,2009-11-03,2009-11-09,1
200910,2009,10,2009-11-10,2009-11-16,1
200911,2009,11,2009-11-17,2009-11-23,1
201506,2015,6,2015-10-13,2015-10-19,1
201507,2015,7,2015-10-20,2015-10-26,1
201508,2015,8,2015-10-27,2015-11-02,1
201509,2015,9,2015-11-03,2015-11-09,1
201510,2015,10,2015-11-10,2015-11-16,1
201511,2015,11,2015-11-17,2015-11-23,1
201211,2012,11,2012-11-13,2012-11-19,1
201301,2013,1,2013-09-03,2013-09-09,1
201308,2013,8,2013-10-22,2013-10-28,1
201315,2013,15,2013-12-10,2013-12-16,1
201405,2014,5,2014-09-30,2014-10-06,1
201412,2014,12,2014-11-18,2014-11-24,1
201502,2015,2,2015-09-15,2015-09-21,1
201515,2015,15,2015-12-15,2015-12-21,1
201605,2016,5,2016-10-04,2016-10-10,1
201613,2016,13,2016-11-29,2016-12-05,1
201799,2017,99,2018-01-02,2018-09-01,0
200907,2009,7,2009-10-20,2009-10-26,1
200912,2009,12,2009-11-24,2009-11-30,1
201616,2016,16,2016-12-20,2016-12-26,1
200913,2009,13,2009-12-01,2009-12-07,1
200914,2009,14,2009-12-08,2009-12-14,1
200915,2009,15,2009-12-15,2009-12-21,1
201617,2016,17,2016-12-27,2016-01-02,1
201701,2017,1,2017-09-05,2017-09-11,1
200916,2009,16,2009-12-22,2009-12-28,1
201702,2017,2,2017-09-12,2017-09-18,1
201703,2017,3,2017-09-19,2017-09-25,1
200917,2009,17,2009-12-29,2009-01-04,1
201001,2010,1,2010-09-07,2010-09-13,1
201002,2010,2,2010-09-14,2010-09-20,1
201003,2010,3,2010-09-21,2010-09-27,1
201705,2017,5,2017-10-03,2017-10-09,1
201004,2010,4,2010-09-28,2010-10-04,1
201706,2017,6,2017-10-10,2017-10-16,1
201707,2017,7,2017-10-17,2017-10-23,1
201704,2017,4,2017-09-26,2017-10-02,1
200906,2009,6,2009-10-13,2009-10-19,1
200904,2009,4,2009-09-29,2009-10-05,1
201709,2017,9,2017-10-31,2017-11-06,1
201710,2017,10,2017-11-07,2017-11-13,1
201711,2017,11,2017-11-14,2017-11-20,1
201712,2017,12,2017-11-21,2017-11-27,1
201713,2017,13,2017-11-28,2017-12-04,1
201005,2010,5,2010-10-05,2010-10-11,1
201006,2010,6,2010-10-12,2010-10-18,1
201007,2010,7,2010-10-19,2010-10-25,1
201008,2010,8,2010-10-26,2010-11-01,1
201009,2010,9,2010-11-02,2010-11-08,1
201010,2010,10,2010-11-09,2010-11-15,1
201011,2010,11,2010-11-16,2010-11-22,1
201012,2010,12,2010-11-23,2010-11-29,1
201013,2010,13,2010-11-30,2010-12-06,1
201014,2010,14,2010-12-07,2010-12-13,1
201015,2010,15,2010-12-14,2010-12-20,1
201016,2010,16,2010-12-21,2010-12-27,1
201017,2010,17,2010-12-28,2010-01-03,1
201101,2011,1,2011-09-06,2011-09-12,1
201102,2011,2,2011-09-13,2011-09-19,1
201103,2011,3,2011-09-20,2011-09-26,1
201104,2011,4,2011-09-27,2011-10-03,1
201105,2011,5,2011-10-04,2011-10-10,1
201106,2011,6,2011-10-11,2011-10-17,1
201107,2011,7,2011-10-18,2011-10-24,1
201108,2011,8,2011-10-25,2011-10-31,1
201109,2011,9,2011-11-01,2011-11-07,1
201110,2011,10,2011-11-08,2011-11-14,1
201111,2011,11,2011-11-15,2011-11-21,1
201112,2011,12,2011-11-22,2011-11-28,1
201113,2011,13,2011-11-29,2011-12-05,1
201114,2011,14,2011-12-06,2011-12-12,1
201115,2011,15,2011-12-13,2011-12-19,1
201116,2011,16,2011-12-20,2011-12-26,1
201117,2011,17,2011-12-27,2011-01-02,1
201201,2012,1,2012-09-04,2012-09-10,1
201202,2012,2,2012-09-11,2012-09-17,1
201203,2012,3,2012-09-18,2012-09-24,1
201204,2012,4,2012-09-25,2012-10-01,1
201205,2012,5,2012-10-02,2012-10-08,1
201206,2012,6,2012-10-09,2012-10-15,1
201207,2012,7,2012-10-16,2012-10-22,1
201208,2012,8,2012-10-23,2012-10-29,1
201209,2012,9,2012-10-30,2012-11-05,1
201210,2012,10,2012-11-06,2012-11-12,1
201212,2012,12,2012-11-20,2012-11-26,1
201213,2012,13,2012-11-27,2012-12-03,1
201214,2012,14,2012-12-04,2012-12-10,1
201215,2012,15,2012-12-11,2012-12-17,1
201216,2012,16,2012-12-18,2012-12-24,1
201217,2012,17,2012-12-25,2012-12-31,1
201302,2013,2,2013-09-10,2013-09-16,1
201303,2013,3,2013-09-17,2013-09-23,1
201304,2013,4,2013-09-24,2013-09-30,1
201305,2013,5,2013-10-01,2013-10-07,1
201306,2013,6,2013-10-08,2013-10-14,1
201307,2013,7,2013-10-15,2013-10-21,1
201309,2013,9,2013-10-29,2013-11-04,1
201310,2013,10,2013-11-05,2013-11-11,1
201311,2013,11,2013-11-12,2013-11-18,1
201312,2013,12,2013-11-19,2013-11-25,1
201313,2013,13,2013-11-26,2013-12-02,1
201314,2013,14,2013-12-03,2013-12-09,1
201316,2013,16,2013-12-17,2013-12-23,1
201317,2013,17,2013-12-24,2013-12-30,1
201401,2014,1,2014-09-02,2014-09-08,1
201402,2014,2,2014-09-09,2014-09-15,1
201403,2014,3,2014-09-16,2014-09-22,1
201404,2014,4,2014-09-23,2014-09-29,1
201406,2014,6,2014-10-07,2014-10-13,1
201407,2014,7,2014-10-14,2014-10-20,1
201408,2014,8,2014-10-21,2014-10-27,1
201409,2014,9,2014-10-28,2014-11-03,1
201410,2014,10,2014-11-04,2014-11-10,1
201411,2014,11,2014-11-11,2014-11-17,1
201413,2014,13,2014-11-25,2014-12-01,1
201414,2014,14,2014-12-02,2014-12-08,1
201415,2014,15,2014-12-09,2014-12-15,1
201416,2014,16,2014-12-16,2014-12-22,1
201417,2014,17,2014-12-23,2014-12-29,1
201501,2015,1,2015-09-08,2015-09-14,1
201503,2015,3,2015-09-22,2015-09-28,1
201504,2015,4,2015-09-29,2015-10-05,1
201505,2015,5,2015-10-06,2015-10-12,1
201512,2015,12,2015-11-24,2015-11-30,1
201513,2015,13,2015-12-01,2015-12-07,1
201514,2015,14,2015-12-08,2015-12-14,1
201516,2015,16,2015-12-22,2015-12-28,1
201517,2015,17,2015-12-29,2015-01-04,1
201601,2016,1,2016-09-06,2016-09-12,1
201602,2016,2,2016-09-13,2016-09-19,1
201603,2016,3,2016-09-20,2016-09-26,1
201604,2016,4,2016-09-27,2016-10-03,1
201606,2016,6,2016-10-11,2016-10-17,1
201607,2016,7,2016-10-18,2016-10-24,1
201608,2016,8,2016-10-25,2016-10-31,1
201610,2016,10,2016-11-08,2016-11-14,1
201611,2016,11,2016-11-15,2016-11-21,1
201612,2016,12,2016-11-22,2016-11-28,1
201614,2016,14,2016-12-06,2016-12-12,1
201615,2016,15,2016-12-13,2016-12-19,1
200905,2009,5,2009-10-06,2009-10-12,1
201708,2017,8,2017-10-24,2017-10-30,1
201609,2016,9,2016-11-01,2016-11-07,1
201714,2017,14,2017-12-05,2017-12-11,1
201715,2017,15,2017-12-12,2017-12-18,1
201716,2017,16,2017-12-19,2017-12-25,1
201717,2017,17,2017-12-26,2017-01-01,1
